,Machine failure,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp difference,Power
234,0,0,1478,42.9,183,10.199999999999989,63406.2
235,0,1,1680,33.7,185,10.199999999999989,56616.00000000001
236,0,0,1495,38.7,188,10.199999999999989,57856.50000000001
237,0,1,1552,36.6,190,10.100000000000023,56803.200000000004
238,0,0,1393,50.3,193,10.200000000000045,70067.9
239,0,0,1611,30.6,195,10.199999999999989,49296.600000000006
240,0,1,1339,51.6,197,10.100000000000023,69092.40000000001
241,0,0,1777,24.3,200,10.100000000000023,43181.1
242,1,0,1348,58.8,202,10.199999999999989,79262.4
243,0,0,1442,44.1,204,10.199999999999989,63592.200000000004
244,0,1,1395,49.1,206,10.199999999999989,68494.5
245,0,1,1627,31.4,209,10.200000000000045,51087.799999999996
246,0,0,1585,33.5,212,10.200000000000045,53097.5
247,0,0,1469,45.5,214,10.199999999999989,66839.5
248,1,0,1362,56.8,216,10.300000000000011,77361.59999999999
249,1,0,1405,56.2,218,10.300000000000011,78961.0
250,0,0,1662,32.7,0,10.300000000000011,54347.4
251,0,1,1466,42.6,2,10.199999999999989,62451.6
252,0,0,1620,35.8,5,10.199999999999989,57995.99999999999
253,0,0,1357,48.2,7,10.199999999999989,65407.4
254,0,0,1514,37.9,9,10.199999999999989,57380.6
255,0,0,1489,40.4,11,10.199999999999989,60155.6
256,0,0,1331,63.0,13,10.199999999999989,83853.0
257,0,0,1615,29.5,15,10.0,47642.5
258,0,0,1482,37.9,17,10.099999999999966,56167.799999999996
259,1,1,1420,63.9,19,10.099999999999966,90738.0
260,0,1,1522,49.1,22,10.100000000000023,74730.2
261,0,0,1654,32.1,25,10.099999999999966,53093.4
262,0,1,1736,26.8,27,10.099999999999966,46524.8
263,0,1,1587,32.3,30,10.100000000000023,51260.1
264,0,0,1390,47.5,33,10.099999999999966,66025.0
265,0,0,1454,37.1,35,10.100000000000023,53943.4
266,0,2,1440,43.7,37,10.100000000000023,62928.00000000001
267,0,0,1954,21.1,42,10.100000000000023,41229.4
268,0,2,1800,24.8,44,10.100000000000023,44640.0
269,0,0,1524,37.0,49,10.0,56388.0
270,0,2,1520,39.6,51,10.0,60192.0
271,0,1,1452,40.8,56,10.0,59241.6
272,0,0,1484,40.4,59,10.0,59953.6
273,0,0,1426,46.0,61,9.899999999999977,65596.0
274,0,0,1652,28.5,63,9.899999999999977,47082.0
275,0,0,1401,54.7,65,10.0,76634.7
276,0,1,1750,26.6,67,9.899999999999977,46550.0
277,0,2,1479,50.7,70,10.0,74985.3
278,0,1,1620,29.4,75,10.0,47628.0
279,0,0,1819,23.4,78,10.100000000000023,42564.6
280,0,1,1456,43.7,80,10.0,63627.200000000004
281,0,0,1626,36.5,83,9.899999999999977,59349.0
282,0,1,1390,49.8,85,10.0,69222.0
283,0,0,1469,43.0,88,10.0,63167.0
284,0,0,2051,19.2,90,10.100000000000023,39379.2
285,0,0,1568,36.0,92,10.100000000000023,56448.0
286,0,0,1589,33.2,94,10.100000000000023,52754.8
287,0,0,1805,31.6,96,10.100000000000023,57038.0
288,0,2,1385,42.2,98,10.199999999999989,58447.00000000001
289,0,0,1436,46.7,103,10.299999999999955,67061.2
290,0,0,1438,45.6,105,10.299999999999955,65572.8
291,0,0,1473,42.6,107,10.300000000000011,62749.8
292,0,0,1335,40.2,109,10.299999999999955,53667.00000000001
293,0,2,1392,44.8,111,10.399999999999977,62361.6
294,0,1,1372,51.1,116,10.399999999999977,70109.2
295,0,1,1716,30.7,119,10.5,52681.2
296,0,0,1395,46.2,122,10.5,64449.00000000001
297,0,0,1713,25.3,124,10.5,43338.9
298,0,2,2129,18.7,126,10.600000000000023,39812.299999999996
299,0,1,1567,35.6,131,10.5,55785.200000000004
300,0,0,1622,38.3,134,10.599999999999966,62122.6
301,0,0,1740,27.1,136,10.699999999999989,47154.0
302,0,2,1512,35.1,138,10.599999999999966,53071.200000000004
303,0,1,1479,43.5,143,10.599999999999966,64336.5
304,0,0,1737,27.5,146,10.599999999999966,47767.5
305,0,0,2129,19.2,148,10.599999999999966,40876.799999999996
306,0,0,1374,47.1,150,10.599999999999966,64715.4
307,0,1,1579,36.6,152,10.599999999999966,57791.4
308,0,0,1305,47.2,155,10.600000000000023,61596.00000000001
309,0,1,1449,40.8,157,10.600000000000023,59119.2
310,0,2,1526,41.8,160,10.600000000000023,63786.799999999996
311,0,1,1453,44.1,165,10.600000000000023,64077.3
312,0,0,1468,36.0,168,10.700000000000045,52848.0
313,0,0,1313,50.8,170,10.600000000000023,66700.4
314,0,1,1300,53.0,172,10.600000000000023,68900.0
315,0,0,1646,40.6,175,10.5,66827.6
316,0,0,1714,33.2,177,10.599999999999966,56904.8
317,0,0,1685,28.4,179,10.599999999999966,47854.0
318,0,0,1512,39.9,181,10.599999999999966,60328.799999999996
319,0,0,1612,32.1,183,10.599999999999966,51745.200000000004
320,0,2,1550,38.2,185,10.599999999999966,59210.00000000001
321,0,0,1518,32.5,190,10.599999999999966,49335.0
322,0,0,1448,40.0,192,10.699999999999989,57920.0
323,0,0,1561,46.3,194,10.699999999999989,72274.29999999999
324,0,1,1488,41.9,196,10.699999999999989,62347.2
325,0,0,1699,27.8,199,10.699999999999989,47232.200000000004
326,0,0,1501,41.4,201,10.800000000000011,62141.4
327,1,0,1373,56.7,203,10.800000000000011,77849.1
328,0,2,1703,31.4,205,10.799999999999955,53474.2
329,0,2,1720,29.9,210,10.800000000000011,51428.0
330,0,1,1398,41.9,215,10.799999999999955,58576.2
331,0,1,1391,51.9,218,10.799999999999955,72192.9
332,0,1,1538,40.2,0,10.699999999999989,61827.600000000006
333,0,0,1647,31.3,3,10.699999999999989,51551.1
334,0,1,1469,44.8,5,10.600000000000023,65811.2
335,0,0,1749,25.9,8,10.700000000000045,45299.1
336,0,1,1995,20.5,10,10.599999999999966,40897.5
337,0,0,1742,27.7,13,10.699999999999989,48253.4
338,0,0,1563,38.2,15,10.699999999999989,59706.600000000006
339,0,1,1713,32.2,17,10.699999999999989,55158.600000000006
340,0,0,1474,39.4,20,10.700000000000045,58075.6
341,0,1,1530,32.6,22,10.800000000000011,49878.0
342,0,0,1471,46.5,25,10.800000000000011,68401.5
343,0,0,1388,48.6,27,10.800000000000011,67456.8
344,0,1,2448,13.8,29,10.699999999999989,33782.4
345,0,0,1585,32.9,32,10.800000000000011,52146.5
346,0,1,1459,45.2,34,10.800000000000011,65946.8
347,0,0,1544,40.8,37,10.800000000000011,62995.2
348,0,0,1617,31.7,39,10.699999999999989,51258.9
349,0,0,1595,34.3,41,10.699999999999989,54708.49999999999
350,0,2,1400,44.3,43,10.699999999999989,62019.99999999999
351,0,1,1611,31.0,48,10.799999999999955,49941.0
352,0,1,1507,46.0,51,10.799999999999955,69322.0
353,0,2,1674,30.0,54,10.800000000000011,50220.0
354,0,0,1658,34.3,59,10.699999999999989,56869.399999999994
355,0,0,1623,36.9,61,10.699999999999989,59888.7
356,0,1,1398,48.9,63,10.799999999999955,68362.2
357,0,0,1517,34.2,66,10.799999999999955,51881.4
358,0,1,1467,36.7,68,10.699999999999989,53838.9
359,0,1,1567,34.6,71,10.699999999999989,54218.200000000004
360,0,1,1521,38.2,74,10.800000000000011,58102.200000000004
361,0,0,1596,36.8,77,10.800000000000011,58732.799999999996
362,0,2,1640,30.9,79,10.699999999999989,50676.0
363,0,0,1438,47.8,84,10.699999999999989,68736.4
364,0,0,1407,55.2,86,10.799999999999955,77666.40000000001
365,0,0,1353,57.5,88,10.799999999999955,77797.5
366,0,1,1552,40.9,90,10.899999999999977,63476.799999999996
367,0,1,1569,38.3,93,10.799999999999955,60092.7
368,0,0,1489,39.5,96,10.899999999999977,58815.5
369,0,2,1587,36.1,98,10.899999999999977,57290.700000000004
370,0,1,1622,37.2,103,10.800000000000011,60338.4
371,0,0,1604,38.1,106,10.899999999999977,61112.4
372,0,1,1405,51.7,108,10.900000000000034,72638.5
373,0,0,1412,42.0,111,10.900000000000034,59304.0
374,0,0,1431,43.0,113,10.900000000000034,61533.0
375,0,0,1533,37.4,115,10.800000000000011,57334.2
376,0,1,1401,51.9,117,10.800000000000011,72711.9
377,0,1,1424,53.9,120,10.800000000000011,76753.59999999999
378,0,0,1754,29.4,123,10.899999999999977,51567.6
379,0,0,1754,26.8,125,10.899999999999977,47007.200000000004
380,1,0,2564,12.8,127,10.800000000000011,32819.200000000004
381,0,0,1546,40.4,129,11.0,62458.399999999994
382,0,0,1335,48.0,131,11.0,64080.0
383,0,1,1842,27.0,133,11.100000000000023,49734.0
384,0,0,1712,26.8,136,11.0,45881.6
385,0,1,1414,45.4,138,11.0,64195.6
386,0,0,1319,50.9,141,11.099999999999966,67137.09999999999
387,0,0,1249,60.4,143,11.0,75439.59999999999
388,0,0,1455,48.2,145,11.099999999999966,70131.0
389,0,1,1408,54.8,147,11.099999999999966,77158.4
390,0,0,1460,46.7,150,11.099999999999966,68182.0
391,0,0,1491,38.1,152,11.0,56807.1
392,0,1,1490,43.4,154,10.899999999999977,64666.0
393,0,1,1350,52.2,157,10.899999999999977,70470.0
394,0,0,1528,39.9,160,10.899999999999977,60967.2
395,0,0,1571,37.7,162,10.900000000000034,59226.700000000004
396,0,0,1490,42.6,164,10.900000000000034,63474.0
397,0,1,1774,28.9,166,10.900000000000034,51268.6
398,0,2,1502,43.6,169,10.900000000000034,65487.200000000004
399,0,0,1392,49.7,174,11.0,69182.40000000001
400,0,0,2100,16.9,176,11.100000000000023,35490.0
401,0,0,1722,30.4,178,11.0,52348.799999999996
402,0,0,1678,32.3,180,11.200000000000045,54199.399999999994
403,0,0,1273,59.8,182,11.300000000000011,76125.4
404,0,0,1297,45.9,184,11.300000000000011,59532.299999999996
405,0,0,1350,57.6,186,11.199999999999989,77760.0
406,0,0,1439,51.9,188,11.200000000000045,74684.09999999999
407,0,1,1600,42.1,190,11.100000000000023,67360.0
408,0,1,1434,44.4,193,11.200000000000045,63669.6
409,0,0,1459,41.3,196,11.200000000000045,60256.7
410,0,1,1472,44.9,198,11.100000000000023,66092.8
411,0,0,1429,44.3,201,11.199999999999989,63304.7
412,0,0,1388,48.2,203,11.100000000000023,66901.6
413,0,0,1573,34.5,205,11.0,54268.5
414,0,0,1588,32.5,207,11.0,51610.0
415,0,0,1511,42.8,209,10.899999999999977,64670.799999999996
416,0,0,1495,37.8,211,11.100000000000023,56510.99999999999
417,0,0,1394,50.1,213,11.0,69839.40000000001
418,0,0,2151,17.7,0,11.0,38072.7
419,0,1,1501,38.2,2,11.0,57338.200000000004
420,0,1,1301,39.6,5,11.0,51519.6
421,0,1,1657,31.1,8,11.0,51532.700000000004
422,0,0,1333,55.2,11,11.0,73581.6
423,0,0,1484,43.9,13,11.0,65147.6
424,0,0,1430,45.7,15,11.099999999999966,65351.00000000001
425,0,1,1665,28.9,17,11.099999999999966,48118.5
426,0,0,1501,44.9,20,11.100000000000023,67394.9
427,0,1,1496,42.2,22,11.0,63131.200000000004
428,0,1,1595,36.9,25,11.0,58855.5
429,0,0,1208,62.3,28,11.100000000000023,75258.4
430,0,0,1596,37.1,30,11.100000000000023,59211.600000000006
431,0,0,1446,41.9,32,11.0,60587.4
432,0,1,1466,39.7,34,10.899999999999977,58200.200000000004
433,0,1,1848,23.7,37,10.899999999999977,43797.6
434,0,1,1484,44.7,40,11.0,66334.8
435,0,0,1493,41.2,43,10.900000000000034,61511.600000000006
436,0,0,1504,36.3,45,11.0,54595.2
437,0,0,1538,38.5,47,11.0,59213.0
438,0,0,1341,52.2,49,11.0,70000.2
439,0,1,1535,34.6,51,10.900000000000034,53111.0
440,0,0,1389,39.2,54,11.100000000000023,54448.8
441,0,2,1393,46.6,56,11.0,64913.8
442,1,0,1399,61.5,61,11.100000000000023,86038.5
443,0,2,1469,45.1,63,11.100000000000023,66251.90000000001
444,0,0,1582,37.2,68,11.0,58850.4
445,0,0,1793,26.7,70,11.100000000000023,47873.1
446,0,0,1452,39.0,72,11.100000000000023,56628.0
447,0,1,1376,59.9,74,11.099999999999966,82422.4
448,0,0,1552,44.9,77,11.100000000000023,69684.8
449,0,0,1622,37.9,79,11.099999999999966,61473.799999999996
450,0,1,1419,41.7,81,11.099999999999966,59172.3
451,0,2,1440,46.1,84,11.100000000000023,66384.0
452,0,1,1643,31.0,89,11.200000000000045,50933.0
453,0,0,1510,36.2,92,11.300000000000011,54662.00000000001
454,0,0,1468,46.6,94,11.300000000000011,68408.8
455,0,0,1429,57.4,96,11.300000000000011,82024.59999999999
456,0,2,1478,47.6,98,11.399999999999977,70352.8
457,0,0,1276,53.6,103,11.200000000000045,68393.6
458,0,0,1486,42.6,105,11.300000000000011,63303.6
459,0,0,1476,42.3,107,11.200000000000045,62434.799999999996
460,0,2,1431,42.0,109,11.300000000000011,60102.0
461,0,0,1402,40.2,114,11.300000000000011,56360.4
462,0,0,1433,43.4,116,11.300000000000011,62192.2
463,1,0,2874,4.2,118,11.300000000000011,12070.800000000001
464,0,0,1511,35.7,120,11.300000000000011,53942.700000000004
465,0,1,1456,42.9,122,11.300000000000011,62462.4
466,0,0,1550,41.5,125,11.300000000000011,64325.0
467,0,0,2182,16.5,127,11.300000000000011,36003.0
468,0,0,1619,31.6,129,11.399999999999977,51160.4
469,0,1,1586,32.7,131,11.5,51862.200000000004
470,0,2,1499,44.2,134,11.5,66255.8
471,0,2,1419,42.4,139,11.5,60165.6
472,0,1,1497,41.8,144,11.600000000000023,62574.6
473,0,1,1520,37.0,147,11.600000000000023,56240.0
474,0,0,1478,49.8,150,11.700000000000045,73604.4
475,0,0,1380,41.1,152,11.700000000000045,56718.0
476,0,0,1570,37.9,154,11.600000000000023,59503.0
477,0,2,1468,41.4,156,11.600000000000023,60775.2
478,0,0,1833,22.6,161,11.600000000000023,41425.8
479,0,1,1323,57.3,163,11.5,75807.9
480,0,0,1583,32.0,166,11.600000000000023,50656.0
481,0,1,1556,39.5,168,11.699999999999989,61462.0
482,0,0,1548,37.4,171,11.699999999999989,57895.2
483,0,0,1324,56.9,173,11.600000000000023,75335.59999999999
484,0,0,1568,33.7,175,11.600000000000023,52841.600000000006
485,0,1,1685,30.7,177,11.600000000000023,51729.5
486,0,1,1582,35.9,180,11.700000000000045,56793.799999999996
487,0,1,1463,35.0,183,11.700000000000045,51205.0
488,0,0,1584,42.8,186,11.800000000000011,67795.2
489,0,1,1347,55.8,188,11.699999999999989,75162.59999999999
490,0,0,1459,37.9,191,11.800000000000011,55296.1
491,0,0,1420,45.6,193,11.800000000000011,64752.0
